dataset,reduction,reduction_method,n_components,kernel,train_acc,test_acc,train_err,test_err,svc_train_time,reduction_time,total_train_time,C,gamma,degree
MNIST,PCA-50,PCA,50,poly,0.9732,0.963,0.0268,0.037,22.69,0.42,23.1,10.0,0.001,3.0
MNIST,PCA-50,PCA,50,poly,0.9075,0.896,0.0925,0.104,57.16,0.42,57.58,10.0,0.001,4.0
MNIST,PCA-100,PCA,100,poly,0.955,0.9499,0.045,0.0501,63.74,0.48,64.23,0.1,scale,2.0
MNIST,PCA-100,PCA,100,poly,0.9246,0.9204,0.0754,0.0796,103.1,0.48,103.58,0.1,scale,3.0
MNIST,PCA-100,PCA,100,poly,0.8019,0.7935,0.1981,0.2065,163.74,0.48,164.22,0.1,scale,4.0
MNIST,PCA-100,PCA,100,poly,0.9883,0.975,0.0117,0.025,18.8,0.48,19.29,0.1,0.01,2.0
MNIST,PCA-100,PCA,100,poly,0.9961,0.9772,0.0039,0.0228,20.14,0.48,20.62,0.1,0.01,3.0
MNIST,PCA-100,PCA,100,poly,0.9983,0.9689,0.0017,0.0311,27.24,0.48,27.73,0.1,0.01,4.0
MNIST,PCA-100,PCA,100,poly,0.9784,0.9691,0.0216,0.0309,29.05,0.48,29.53,0.1,0.005,2.0
MNIST,PCA-100,PCA,100,poly,0.9846,0.9696,0.0154,0.0304,33.32,0.48,33.81,0.1,0.005,3.0
MNIST,PCA-100,PCA,100,poly,0.9823,0.9573,0.0177,0.0427,45.24,0.48,45.73,0.1,0.005,4.0
MNIST,PCA-100,PCA,100,poly,0.9149,0.9132,0.0851,0.0868,122.25,0.48,122.74,0.1,0.001,2.0
MNIST,PCA-100,PCA,100,poly,0.7257,0.7226,0.2743,0.2774,211.54,0.48,212.02,0.1,0.001,3.0
MNIST,PCA-100,PCA,100,poly,0.3104,0.3005,0.6896,0.6995,255.71,0.48,256.19,0.1,0.001,4.0
MNIST,PCA-100,PCA,100,poly,0.9819,0.9712,0.0181,0.0288,24.72,0.48,25.2,1.0,scale,2.0
MNIST,PCA-100,PCA,100,poly,0.9791,0.9669,0.0209,0.0331,39.65,0.48,40.13,1.0,scale,3.0
MNIST,PCA-100,PCA,100,poly,0.9505,0.932,0.0495,0.068,75.28,0.48,75.76,1.0,scale,4.0
MNIST,PCA-100,PCA,100,poly,0.9974,0.9751,0.0026,0.0249,13.56,0.48,14.05,1.0,0.01,2.0
MNIST,PCA-100,PCA,100,poly,0.9997,0.9748,0.0003,0.0252,17.63,0.48,18.11,1.0,0.01,3.0
MNIST,PCA-100,PCA,100,poly,0.9999,0.9677,0.0001,0.0323,25.89,0.48,26.37,1.0,0.01,4.0
MNIST,PCA-100,PCA,100,poly,0.993,0.9762,0.007,0.0238,15.26,0.48,15.74,1.0,0.005,2.0
MNIST,PCA-100,PCA,100,poly,0.9969,0.9771,0.0031,0.0229,19.5,0.48,19.98,1.0,0.005,3.0
MNIST,PCA-100,PCA,100,poly,0.9974,0.9683,0.0026,0.0317,28.48,0.48,28.96,1.0,0.005,4.0
MNIST,PCA-100,PCA,100,poly,0.9684,0.963,0.0316,0.037,42.68,0.48,43.16,1.0,0.001,2.0
MNIST,PCA-100,PCA,100,poly,0.9357,0.9297,0.0643,0.0703,95.63,0.48,96.11,1.0,0.001,3.0
MNIST,PCA-100,PCA,100,poly,0.7548,0.7496,0.2452,0.2504,1082.47,0.48,1082.96,1.0,0.001,4.0
MNIST,PCA-100,PCA,100,poly,0.9919,0.976,0.0081,0.024,37.39,0.48,37.87,5.0,scale,2.0
MNIST,PCA-100,PCA,100,poly,0.9924,0.9751,0.0076,0.0249,14.92,0.48,15.41,5.0,scale,3.0
MNIST,PCA-100,PCA,100,poly,0.9847,0.9587,0.0153,0.0413,26.45,0.48,26.94,5.0,scale,4.0
MNIST,PCA-100,PCA,100,poly,0.9996,0.9731,0.0004,0.0269,8.14,0.48,8.62,5.0,0.01,2.0
MNIST,PCA-100,PCA,100,poly,1.0,0.9749,0.0,0.0251,10.91,0.48,11.39,5.0,0.01,3.0
MNIST,PCA-100,PCA,100,poly,1.0,0.9679,0.0,0.0321,128.69,0.48,129.17,5.0,0.01,4.0
MNIST,PCA-100,PCA,100,poly,0.998,0.9753,0.002,0.0247,8.32,0.48,8.81,5.0,0.005,2.0
MNIST,PCA-100,PCA,100,poly,0.9994,0.9759,0.0006,0.0241,10.91,0.48,11.39,5.0,0.005,3.0
MNIST,PCA-100,PCA,100,poly,0.9997,0.9682,0.0003,0.0318,996.28,0.48,996.76,5.0,0.005,4.0
MNIST,PCA-100,PCA,100,poly,0.9838,0.9726,0.0162,0.0274,15.2,0.48,15.69,5.0,0.001,2.0
MNIST,PCA-100,PCA,100,poly,0.9742,0.9627,0.0258,0.0373,30.12,0.48,30.61,5.0,0.001,3.0
MNIST,PCA-100,PCA,100,poly,0.8972,0.8876,0.1028,0.1124,313.55,0.48,314.04,5.0,0.001,4.0
MNIST,PCA-100,PCA,100,poly,0.9947,0.9762,0.0053,0.0238,9.19,0.48,9.67,10.0,scale,2.0
MNIST,PCA-100,PCA,100,poly,0.9954,0.9767,0.0046,0.0233,13.13,0.48,13.61,10.0,scale,3.0
MNIST,PCA-100,PCA,100,poly,0.991,0.9635,0.009,0.0365,22.53,0.48,23.01,10.0,scale,4.0
MNIST,PCA-100,PCA,100,poly,0.9998,0.9713,0.0002,0.0287,8.11,0.48,8.59,10.0,0.01,2.0
MNIST,PCA-100,PCA,100,poly,1.0,0.9749,0.0,0.0251,11.13,0.48,11.62,10.0,0.01,3.0
MNIST,PCA-100,PCA,100,poly,1.0,0.9679,0.0,0.0321,16.23,0.48,16.71,10.0,0.01,4.0
MNIST,PCA-100,PCA,100,poly,0.999,0.9733,0.001,0.0267,53.02,0.48,53.51,10.0,0.005,2.0
MNIST,PCA-100,PCA,100,poly,0.9998,0.9748,0.0002,0.0252,11.33,0.48,11.81,10.0,0.005,3.0
